farm,Agriculture
fertile,Agriculture
gather,Agriculture
harvest,Agriculture
seed,Agriculture
vegetable,Agriculture
animal,Animals
cat,Animals
cow,Animals
dog,Animals
fish,Animals
fly,Animals
horse,Animals
pig,Animals
sheep,Animals
blood,Body Parts
brain,Body Parts
breathe,Body Parts
cancer,Body Parts
fit,Body Parts
foot,Body Parts
heal,Body Parts
health,Body Parts
injure,Body Parts
kick,Body Parts
pain,Body Parts
sickness,Body Parts
skeleton,Body Parts
smell,Body Parts
tear,Body Parts
wound,Body Parts
barrier,Buildings
city,Buildings
hospital,Buildings
house,Buildings
jail,Buildings
restaurant,Buildings
ruin,Buildings
wall,Buildings
zoo,Buildings
advertise,Business
advise,Business
approve,Business
available,Business
avoid,Business
bank,Business
busy,Business
concern,Business
control,Business
copy,Business
create,Business
demand,Business
depression,Business
dispute,Business
economy,Business
effect,Business
effort,Business
exchange,Business
fail,Business
fine,Business
firm,Business
gain,Business
gift,Business
import,Business
inflation,Business
Internet,Business
invest,Business
lend,Business
luck,Business
mail,Business
negotiate,Business
organize,Business
pay,Business
permit,Business
persuade,Business
plan,Business
possess,Business
prevent,Business
price,Business
prize,Business
program,Business
promise,Business
property,Business
publish,Business
rate,Business
risk,Business
save,Business
sell,Business
serve,Business
shrink,Business
smash,Business
spend,Business
store,Business
strike,Business
substitute,Business
supervise,Business
supply,Business
surplus,Business
travel,Business
version,Business
wages,Business
Web site,Business
hat,Clothes
shoe,Clothes
brown,Color
white,Color
above,Direction
against,Direction
along,Direction
below,Direction
between,Direction
climb,Direction
close,Direction
direction,Direction
drop,Direction
east,Direction
either,Direction
from,Direction
front,Direction
near,Direction
nowhere,Direction
off,Direction
opposite,Direction
out,Direction
path,Direction
pull,Direction
step,Direction
under,Direction
way,Direction
west,Direction
archeology,Education
cheat,Education
define,Education
education,Education
evidence,Education
except,Education
exercise,Education
experience,Education
explain,Education
fact,Education
guide,Education
information,Education
learn,Education
literature,Education
memory,Education
message,Education
mistake,Education
poem,Education
punish,Education
recognize,Education
rob,Education
satisfy,Education
sit,Education
subject,Education
suppose,Education
term,Education
why,Education
alcohol,Food/Drink
boil,Food/Drink
dinner,Food/Drink
eat,Food/Drink
food,Food/Drink
fresh,Food/Drink
hunger,Food/Drink
meal,Food/Drink
mix,Food/Drink
pour,Food/Drink
taste,Food/Drink
water,Food/Drink
bed,Household
bottle,Household
door,Household
fan,Household
leak,Household
seat,Household
stove,Household
telephone,Household
throw,Household
waste,Household
enjoy,"I do not have enough information to answer the query. The word ""enjoy"" does not fit into any of the provided categories (Color, Visual, Direction, Time, Animals, Food/Drink, Household, Clothes, Tools, Buildings, People, Body Parts, Materials, Transport, Business, Industry, Education, Political, War, Agriculture, Nature, Mathematics). Please provide a more relevant list of categories or a different word."
enough,"I do not have enough information to answer the query. The word ""enough"" does not fit into any of the provided categories (Color, Visual, Direction, Time, Animals, Food/Drink, Household, Clothes, Tools, Buildings, People, Body Parts, Materials, Transport, Business, Industry, Education, Political, War, Agriculture, Nature, Mathematics). Please provide a more relevant list of categories or a different word."
however,"I do not have enough information to answer the query. The word ""however"" does not fit into any of the provided categories. Please provide a different set of categories or a different word to categorize."
if,"I do not have enough information to answer the query. The word ""if"" is a conjunction and does not fit into any of the provided categories."
what,"I do not have enough information to answer the query. The word ""what"" does not fit into any of the provided categories (Color, Visual, Direction, Time, Animals, Food/Drink, Household, Clothes, Tools, Buildings, People, Body Parts, Materials, Transport, Business, Industry, Education, Political, War, Agriculture, Nature, Mathematics). Please provide a list of categories that includes grammatical or interrogative terms."
crush,Industry
energy,Industry
grind,Industry
machine,Industry
manufacture,Industry
mine,Industry
radio,Industry
repair,Industry
system,Industry
coal,Materials
cotton,Materials
iron,Materials
lead,Materials
material,Materials
metal,Materials
rubber,Materials
silver,Materials
substance,Materials
wood,Materials
add,Mathematics
chance,Mathematics
complex,Mathematics
even,Mathematics
few,Mathematics
limit,Mathematics
line,Mathematics
mathematics,Mathematics
mean,Mathematics
measure,Mathematics
more,Mathematics
much,Mathematics
over,Mathematics
percent,Mathematics
point,Mathematics
result,Mathematics
series,Mathematics
set,Mathematics
square,Mathematics
than,Mathematics
that,Mathematics
total,Mathematics
value,Mathematics
ash,Nature
atmosphere,Nature
calm,Nature
cause,Nature
chase,Nature
coast,Nature
cold,Nature
cool,Nature
damage,Nature
develop,Nature
dirt,Nature
disaster,Nature
dust,Nature
environment,Nature
evaporate,Nature
exist,Nature
fire,Nature
flow,Nature
fog,Nature
forest,Nature
hot,Nature
infect,Nature
island,Nature
moderate,Nature
mountain,Nature
quiet,Nature
rain,Nature
root,Nature
rural,Nature
smoke,Nature
snow,Nature
space,Nature
temperature,Nature
warm,Nature
wave,Nature
wind,Nature
world,Nature
worse,Nature
another,None of the above
answer,None of the above
especially,None of the above
get,None of the above
not,None of the above
should,None of the above
take,None of the above
although,None of the categories apply
able,People
abuse,People
afraid,People
alone,People
ancestor,People
boy,People
brave,People
brother,People
care,People
champion,People
cheer,People
children,People
community,People
cry,People
desire,People
expert,People
family,People
feel,People
friend,People
frighten,People
girl,People
help,People
holy,People
human,People
I,People
individual,People
insane,People
insult,People
intelligent,People
jury,People
kiss,People
listen,People
lonely,People
love,People
man,People
marry,People
mate,People
meet,People
minister,People
mob,People
name,People
neighbor,People
our,People
parent,People
people,People
poor,People
praise,People
profession,People
race,People
rape,People
refugee,People
religion,People
responsible,People
sailor,People
serious,People
she,People
sing,People
son,People
suffer,People
sympathy,People
tell,People
thank,People
they,People
treatment,People
urge,People
want,People
weak,People
welcome,People
wish,People
worry,People
young,People
aid,Political
appeal,Political
ballot,Political
case,Political
compromise,Political
conservative,Political
constitution,Political
corruption,Political
country,Political
court,Political
crime,Political
criminal,Political
crisis,Political
delegate,Political
denounce,Political
deny,Political
embassy,Political
execute,Political
federal,Political
flag,Political
foreign,Political
incident,Political
incite,Political
independent,Political
intervene,Political
legislature,Political
local,Political
mayor,Political
obey,Political
oppose,Political
oppress,Political
overthrow,Political
pardon,Political
parliament,Political
party,Political
release,Political
restrain,Political
spy,Political
state,Political
suppress,Political
territory,Political
trouble,Political
unite,Political
violate,Political
vote,Political
again,Time
always,Time
as,Time
awake,Time
begin,Time
break,Time
current,Time
during,Time
early,Time
end,Time
expect,Time
former,Time
hurry,Time
immediate,Time
just,Time
late,Time
modern,Time
next,Time
night,Time
noon,Time
now,Time
period,Time
permanent,Time
postpone,Time
ready,Time
spring,Time
stay,Time
summer,Time
until,Time
usual,Time
will,Time
die,Tools
equipment,Tools
fix,Tools
knife,Tools
microscope,Tools
reduce,Tools
rope,Tools
automobile,Transport
bring,Transport
carry,Transport
engine,Transport
express,Transport
hijack,Transport
launch,Transport
railroad,Transport
station,Transport
attention,Visual
big,Visual
catch,Visual
common,Visual
condition,Visual
dance,Visual
dark,Visual
detail,Visual
dream,Visual
edge,Visual
excellent,Visual
expand,Visual
explore,Visual
extend,Visual
far,Visual
fireworks,Visual
great,Visual
imagine,Visual
large,Visual
light,Visual
map,Visual
mark,Visual
narrow,Visual
object,Visual
observe,Visual
rough,Visual
search,Visual
sign,Visual
size,Visual
small,Visual
soft,Visual
sort,Visual
sound,Visual
terrible,Visual
thin,Visual
very,Visual
wide,Visual
wonder,Visual
wonderful,Visual
army,War
artillery,War
attack,War
battle,War
betray,War
capture,War
clash,War
defeat,War
explode,War
gun,War
halt,War
hang,War
hit,War
hostile,War
invade,War
kill,War
missile,War
occupy,War
raid,War
sacrifice,War
struggle,War
troops,War
truce,War
violence,War
warn,War
a,Nature
an,"I do not have enough information to categorize the word ""an"" into the provided categories. It is a grammatical article (determiner) and does not fit into the specific thematic categories listed, such as Agriculture, Nature, or People. To help me categorize better, please provide words that belong to one of the specified themes."
about,Time
accept,Business
accident,Transport
accuse,Political
across,Direction
act,Political
activist,Political
actor,People
administration,Political
admit,Education
adult,People
affect,People
after,Time
age,Time
agency,Political
aggression,War
ago,Time
agree,Political
agriculture,Agriculture
aim,Direction
air,Nature
air force,War
airplane,Transport
airport,Transport
album,Business
alive,Nature
all,Mathematics
ally,Political
almost,Mathematics
already,Time
also,None of these categories apply
ambassador,Political
amend,Political
ammunition,War
among,Mathematics
amount,Mathematics
anarchy,Political
ancient,Time
and,Mathematics
anger,People
anniversary,Time
announce,Political
any,Nature
apologize,People
appear,Visual
appoint,Business
area,Mathematics
argue,Political
arms,Body Parts
around,Direction
arrest,Political
arrive,Transport
art,Visual
ask,Education
assist,Business
astronaut,People
astronomy,Nature
asylum,Political
at,Time
attach,Agriculture
attempt,Business
attend,Education
autumn,Time
average,Mathematics
award,Business
away,Direction
baby,People
back,Direction
bad,People
balance,Business
ball,Household
balloon,Transport
ban,Political
bar,Business
base,Military
be,Nature
beat,Nature
beauty,Visual
because,Education
become,Nature
before,Time
behavior,People
behind,Direction
believe,Education
belong,People
best,Mathematics
better,Visual
bill,Political
biology,Nature
bird,Animals
bite,Food/Drink
black,Color
blame,Political
bleed,Body Parts
blind,Visual
block,Buildings
blow,Industry
blue,Color
boat,Transport
body,Body Parts
bomb,War
bone,Body Parts
book,Education
border,Political
born,People
borrow,Business
both,Mathematics
bottom,Direction
box,Household
boycott,Political
bread,Food/Drink
bridge,Transport
brief,Time
bright,Visual
broadcast,Business
budget,Business
build,Industry
building,Buildings
bullet,Visual
burn,Nature
burst,Nature
bury,Agriculture
bus,Transport
business,Business
but,Not Categorized
buy,Business
by,Direction
cabinet,Household
call,Business
camera,Visual
camp,War
campaign,Political
can,Industry
cancel,Business
candidate,Political
capital,Business
car,Transport
career,Business
careful,Visual
ceasefire,War
celebrate,People
center,Direction
century,Time
ceremony,People
chairman,Business
change,Business
charge,Business
chemicals,Materials
chemistry,Education
chief,People
child,People
choose,People
circle,Mathematics
citizen,People
civilian,People
civil rights,Political
claim,Business
class,Education
clean,Visual
clear,Visual
clergy,People
climate,Nature
clock,Time
cloth,Materials
clothes,Clothes
cloud,Nature
coalition,Political
coffee,Food/Drink
collapse,Visual
collect,Business
college,Education
colony,Political
color,Color
combine,Industry
come,Direction
command,War
comment,Education
committee,Political
communicate,People
company,Business
compare,Mathematics
compete,Business
complete,Education
computer,Business
condemn,Political
conference,Business
confirm,Business
conflict,War
congratulate,People
Congress,Political
connect,Agriculture
consider,Education
